type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA9_16_45	0000368112_S1_R2_001.fastq.gz	FASTQ	2633642588	bf75db65a79f7a1f2fbe89e7dab15d16	WXS; RNA-Seq	syn68527741									
file	phs002371	HTA9_17_41	0000382748_S1_R2_001.fastq.gz	FASTQ	2368544663	92a261b2fdd0a181db4b878f3a01607f	WXS; RNA-Seq	syn68527790									
file	phs002371	HTA9_18_44	0000394763_S1_R2_001.fastq.gz	FASTQ	2422773525	ae091ec482b4f7f38056803f7f59964c	WXS; RNA-Seq	syn68527846									
file	phs002371	HTA9_43_1	0000394880_R1.fastq.gz	FASTQ	2578249702	d61c22243b16d62de04ebd1d16d41beb	WXS; RNA-Seq	syn68527849									
file	phs002371	HTA9_43_1	0000394880_R2.fastq.gz	FASTQ	2885575038	b289ae2b292d2c0f0be158bd05a37e86	WXS; RNA-Seq	syn68527865									
file	phs002371	HTA9_43_2	0000404813_R1.fastq.gz	FASTQ	1367646712	56ca71df3b162cc82fb9cd9de7601d62	WXS; RNA-Seq	syn68527878									
file	phs002371	HTA9_43_2	0000404813_R2.fastq.gz	FASTQ	1740044479	34f5a7cae7d8e314c2c2cdce0983ce5b	WXS; RNA-Seq	syn68527890									
file	phs002371	HTA9_23_2	0000424110_R2.fastq.gz	FASTQ	2206938378	df9bd6451c04197c4d13f192205a5f41	WXS; RNA-Seq	syn68527906									
file	phs002371	HTA9_14_92	0000424126_R1.fastq.gz	FASTQ	2936854319	9165130b8408d5916f5d566e91677971	WXS; RNA-Seq	syn68527926									
file	phs002371	HTA9_24_2	0000434093_R1.fastq.gz	FASTQ	2207881347	75798c4b16a9a9c083d3af5c8fd22fdb	WXS; RNA-Seq	syn68527944									
file	phs002371	HTA9_44_1	0000434568_R1.fastq.gz	FASTQ	1108393427	ae52a8faa38306db4224f6139405f47a	WXS; RNA-Seq	syn68528000									
file	phs002371	HTA9_29_32	0000447031_R1.fastq.gz	FASTQ	929586984	ac466b32e6daaf96ecd82783580ec933	WXS; RNA-Seq	syn68528012									
