type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371_HTAN	HTA11_546_2000001011	HTA11_546_2000001011523001.ome.tiff	OME-TIFF	1137350197	2076e0d96dc7f28f4fa1b5a94070231f	WXS; RNA-Seq	syn53977567									
file	phs002371_HTAN	HTA11_10711_2000001011	HTA11_10711_2000001011523001.ome.tif	OME-TIFF	400828123	63e707fc6afc3e41a0aa8bbf10b0f36c	WXS; RNA-Seq	syn61376132									
file	phs002371_HTAN	HTA11_1391_2000001011	HTA11_1391_2000001011523001.ome.tif	OME-TIFF	1507921887	63f463ef6a2987a473496f4de89ca920	WXS; RNA-Seq	syn61376134									
file	phs002371_HTAN	HTA11_1391_2000001011	HTA11_1391_2000001011523002.ome.tif	OME-TIFF	1524121689	97f83284def956cc81cdb14ac5457408	WXS; RNA-Seq	syn61376135									
file	phs002371_HTAN	HTA11_1391_2000001011	HTA11_1391_2000001011523003.ome.tif	OME-TIFF	85185871	4fb46eafb2b2716db3fa4b8d1d818ccf	WXS; RNA-Seq	syn61376157									
file	phs002371_HTAN	HTA11_1938_2000001011	HTA11_1938_2000001011523001.ome.tif	OME-TIFF	1576139808	a3e80b51db8b466ef18580e0de6a6d69	WXS; RNA-Seq	syn61376159									
file	phs002371_HTAN	HTA11_1938_2000001011	HTA11_1938_2000001011523002.ome.tif	OME-TIFF	1103936640	a893a7a94b7cb6fe0b271ad221ae014d	WXS; RNA-Seq	syn61376162									
file	phs002371_HTAN	HTA11_2112_2000001011	HTA11_2112_2000001011523001.ome.tif	OME-TIFF	1839324419	5a3e0117dd875267c5f7d5ac8dd1a007	WXS; RNA-Seq	syn61376165									
file	phs002371_HTAN	HTA11_2112_2000001011	HTA11_2112_2000001011523002.ome.tif	OME-TIFF	1510663285	549187091952b1fad45aec0f23c9084a	WXS; RNA-Seq	syn61376168									
file	phs002371_HTAN	HTA11_2112_2000001011	HTA11_2112_2000001011523003.ome.tif	OME-TIFF	1451581391	c95e5503e716f91ce13a2cd910b7b517	WXS; RNA-Seq	syn61376170									
file	phs002371_HTAN	HTA11_2112_2000001011	HTA11_2112_2000001011523004.ome.tif	OME-TIFF	2652584423	f99ef1d90548e8299c018241a395713e	WXS; RNA-Seq	syn61376171									
file	phs002371_HTAN	HTA11_2235_2000001011	HTA11_2235_2000001011523001.ome.tif	OME-TIFF	2854307041	cd59c2e5c10511e2e6031c5fedd08593	WXS; RNA-Seq	syn61376174									
file	phs002371_HTAN	HTA11_2235_2000001011	HTA11_2235_2000001011523002.ome.tif	OME-TIFF	1184720911	1e3093df492f3b70ea06167e5dde35ae	WXS; RNA-Seq	syn61376175									
file	phs002371_HTAN	HTA11_2235_2000001011	HTA11_2235_2000001011523003.ome.tif	OME-TIFF	881522329	f54eef8d9cbf2205a2aa744a09f452c3	WXS; RNA-Seq	syn61376178									
file	phs002371_HTAN	HTA11_2487_2000001011	HTA11_2487_2000001011523001.ome.tif	OME-TIFF	7645410629	a73f758b8589b6e403bdf553344290f0	WXS; RNA-Seq	syn61376190									
file	phs002371_HTAN	HTA11_2487_2000001011	HTA11_2487_2000001011523002.ome.tif	OME-TIFF	7133458923	2d68c37a62de292e30908881cdeeaad3	WXS; RNA-Seq	syn61376201									
file	phs002371_HTAN	HTA11_2951_2000001011	HTA11_2951_2000001011523001.ome.tif	OME-TIFF	5453906975	9a58113fccec02b99c147161ee37ef54	WXS; RNA-Seq	syn61376205									
