type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371_HTAN	HTA9_8_55	357670.ome.tif	OME-TIFF	218751074	0f4562a05d188954d3720efd12f69c03	Pathological	syn66271793									
file	phs002371_HTAN	HTA9_11_54	357671.ome.tif	OME-TIFF	86414518	24ae79391bfeb7cf69f57f972590a3ba	Pathological	syn66271796									
file	phs002371_HTAN	HTA9_27_64	376291.ome.tif	OME-TIFF	55012444	b6720cf8f0924b217bd6295479b113a6	Pathological	syn66271798									
file	phs002371_HTAN	HTA9_16_73	385528.ome.tif	OME-TIFF	234941716	8faaecf5bc0a48aed135dc3b8ff4ac5b	Pathological	syn66271802									
file	phs002371_HTAN	HTA9_16_74	385529.ome.tif	OME-TIFF	97137343	0cddcebd22dddcc8bca4c705c1209dcf	Pathological	syn66271829									
file	phs002371_HTAN	HTA9_14_73	424812.ome.tif	OME-TIFF	737632881	55f43ed4639d15da133b819306500eaf	Pathological	syn68516792									
file	phs002371_HTAN	HTA9_14_73	424812_ROI01.ome.tif	OME-TIFF	28366654	7785e5a478a4114263d6a51ae14bfa8a	Pathological	syn68516788									
file	phs002371_HTAN	HTA9_14_73	424812_ROI02.ome.tif	OME-TIFF	34479347	15d6a6ad9d92686fe492d2901c7f7130	Pathological	syn68516789									
file	phs002371_HTAN	HTA9_14_73	424812_ROI03.ome.tif	OME-TIFF	36891464	714ee40bedcb7ad251da7f59f8fb753f	Pathological	syn68516790									
file	phs002371_HTAN	HTA9_14_73	424812_ROI04.ome.tif	OME-TIFF	38229410	f966e62510574706676d0be57fe8a586	Pathological	syn68516793									
file	phs002371_HTAN	HTA9_8_56	433519.ome.tif	OME-TIFF	174316868	e1173906466c928086ec1ce1fa031b61	Pathological	syn66271834									
file	phs002371_HTAN	HTA9_10_59	433523.ome.tif	OME-TIFF	335678739	859544c25e4ca80d1ba6e65154147981	Pathological	syn66271846									
file	phs002371_HTAN	HTA9_7_74	433653.ome.tif	OME-TIFF	170284374	942e0f35f382e09f9e66425778610928	Pathological	syn66271865									
file	phs002371_HTAN	HTA9_15_91	433693.ome.tif	OME-TIFF	214948990	eecec2431eb6bafcf688100bb9799c29	Pathological	syn68516794									
file	phs002371_HTAN	HTA9_15_91	433693_ROI01.ome.tif	OME-TIFF	44872371	823f048b2fe4a9a90be23b2f8684126e	Pathological	syn68516797									
file	phs002371_HTAN	HTA9_15_91	433693_ROI02.ome.tif	OME-TIFF	61332599	635ff39466ec404d1a99f8ba913879b5	Pathological	syn68516799									
file	phs002371_HTAN	HTA9_15_91	433693_ROI03.ome.tif	OME-TIFF	24372331	19e1ec5b76bbd5bf24a76a4d391055a8	Pathological	syn68516800									
file	phs002371_HTAN	HTA9_15_91	433693_ROI04.ome.tif	OME-TIFF	47882358	bb8a9e4fb21bcd2cf814d0c938bf140c	Pathological	syn68516801									
file	phs002371_HTAN	HTA9_15_91	433693_ROI05.ome.tif	OME-TIFF	58491162	fd31995e5b49901bfdfe8c590b72ec8c	Pathological	syn68516802									
file	phs002371_HTAN	HTA9_14_91	434973.ome.tif	OME-TIFF	1063252153	e2d6697ab5cc9e09ba214330df10d2a4	Pathological	syn66271872									
